191
AB,192,0,0
EU,240,42,28
AC,304,82,143
AF,325,120,135
CN,304,209,0
AV,192,300,52
CF,243,451,0
AE,224,461,0
AD,160,475,2
GU,307,648,0
AK,345,723,4
AN,180,741,0
BC,293,750,0
EB,214,770,31
BE,239,803,0
AG,205,811,40
AJ,206,824,53
CT,285,876,117
AI,151,940,0
AH,267,965,66
CM,344,1222,150
FD,340,1223,0
CG,174,1228,0
BF,216,1485,0
AY,174,1488,0
FT,237,1502,86
HB,205,1569,0
AP,278,1701,0
AR,184,1747,91
AL,150,1840,18
BK,246,2067,0
AZ,214,2167,0
AM,191,2251,0
AQ,273,2275,113
GM,276,2347,136
AO,180,2379,0
AS,205,2452,0
DX,340,2565,91
BM,298,2864,142
BS,277,2904,103
GJ,344,2940,165
AU,226,2950,73
DI,323,3141,128
BG,157,3185,0
BP,343,3233,0
AW,318,3252,0
CK,341,3257,65
CD,199,3284,0
EW,230,3386,0
AT,200,3483,0
FI,350,3518,18
DH,180,3789,40
BO,168,4042,74
BX,274,4208,0
BA,237,4268,75
AX,219,4448,30
BH,269,4565,0
BJ,228,4580,0
CJ,228,4637,0
CI,235,5045,0
BW,203,5056,0
BD,283,5388,111
GX,339,5420,127
FY,273,5583,0
BL,171,5646,44
BY,299,5669,0
CZ,207,5683,0
FJ,163,5818,0
CY,267,5937,79
CX,161,5938,0
DJ,202,5992,1
BU,274,5998,0
BN,310,6099,43
EN,298,6176,0
BI,271,6202,0
DP,204,6374,36
DF,308,6405,0
FG,274,6441,68
BR,326,6453,148
DN,271,6568,129
BQ,203,6719,0
BT,268,7006,122
FL,273,7220,30
ES,271,7255,54
EL,245,7522,0
EI,156,7766,45
GK,243,7805,0
DY,310,7818,114
CE,323,8028,30
CB,260,8050,0
DW,308,8496,114
DU,250,8645,67
ER,328,9066,0
BZ,348,9099,0
BV,242,9158,10
FB,269,9212,69
CH,207,9990,0
CL,277,10133,0
DZ,214,10476,0
CA,290,10688,46
HL,303,10822,0
CQ,267,11534,0
EY,254,11828,0
DC,218,11897,14
DE,320,11928,114
FZ,190,11949,0
FU,343,12020,9
GT,272,12104,0
GC,182,12294,60
CU,306,12481,60
DR,193,12539,0
CP,248,12735,106
FO,282,12865,0
CW,159,12923,0
EG,306,13053,59
EP,213,13339,39
GE,176,13572,0
CR,229,13750,0
DK,300,13893,105
DT,318,13903,153
CO,150,14155,13
HK,200,14348,0
DB,294,14379,0
EZ,286,14809,53
CV,249,14814,0
GP,152,14942,67
DO,246,15690,107
EK,347,15795,0
DG,346,16020,2
HN,150,16044,0
DS,188,16056,64
CS,237,16076,29
EC,263,16225,0
DQ,219,16258,0
FQ,217,16489,0
DA,243,16676,73
DM,158,17162,78
GS,224,17191,0
EQ,339,17198,0
GZ,278,17496,69
GL,259,17519,0
GO,285,17622,0
HP,240,18034,0
DL,280,18082,17
EJ,221,18152,0
FM,250,19597,76
EO,334,19895,0
EH,314,20438,86
EA,333,20923,0
ED,303,21215,0
DV,263,21489,99
GR,260,21532,2
FH,178,21998,0
HE,151,22431,0
GQ,346,23020,55
HG,181,23698,0
EF,293,23755,135
GD,214,23849,87
EM,200,23900,52
GW,319,25556,63
FC,327,25843,111
GA,334,26157,0
HM,241,26184,34
ET,164,26310,12
FW,335,26442,86
EV,195,26568,4
GF,277,26950,3
FE,205,27877,0
FP,155,27991,0
EX,338,28819,0
FA,201,29191,51
FR,232,29306,35
GV,180,29601,0
FV,197,30627,0
FX,260,30831,0
FS,330,31002,0
FN,268,31180,52
FK,195,32062,6
GH,235,33097,0
GY,340,34030,160
GN,202,35248,57
HA,160,36098,76
GB,205,37354,0
GI,275,37930,0
HO,262,39140,0
HJ,183,39783,49
HF,258,40587,0
HC,197,41000,0
HD,268,41047,112
HI,202,42531,0
HQ,196,44736,27
