91
AB,65,0,0
BU,122,5,0
BJ,52,7,25
AC,83,25,0
AK,50,102,0
AV,41,115,0
BK,102,132,0
AD,110,139,0
AE,78,183,35
AG,71,198,12
CQ,42,210,0
AL,114,246,35
AF,130,248,65
CA,132,273,3
AI,33,287,0
AH,33,326,0
DK,46,349,3
AO,149,355,0
AU,69,359,3
BQ,111,363,29
CW,87,365,29
AT,102,385,35
CL,42,406,19
AW,107,448,0
AN,127,449,46
BC,129,454,10
AJ,133,483,30
DC,100,499,34
BA,32,605,0
CF,123,614,0
BG,70,713,15
CO,84,717,43
AZ,73,726,4
AQ,124,734,0
AM,134,810,0
AY,72,825,0
CI,36,829,7
CS,90,946,26
AX,97,978,0
BT,74,1051,0
BR,31,1086,0
AS,102,1154,0
AP,60,1213,26
BE,73,1236,9
BI,78,1256,9
BL,107,1303,0
CH,85,1351,11
BP,60,1420,6
AR,120,1434,61
BD,77,1620,0
BW,143,1695,49
DJ,51,1735,0
BF,50,1789,21
BV,79,1794,11
DF,142,1930,39
BN,149,2032,0
CB,70,2139,0
CX,89,2157,0
CY,137,2200,0
BM,111,2316,0
BH,115,2412,0
CK,66,2436,0
CD,39,2800,0
BS,61,2839,0
CN,36,2955,0
BO,72,3052,0
BX,74,3074,0
CE,143,3075,0
CV,77,3124,12
DP,41,3179,18
DG,40,3234,0
CJ,54,3352,22
DL,117,3566,0
BZ,50,3696,0
BY,136,3927,0
CT,90,4006,6
CM,100,4021,0
DE,83,4386,37
CU,112,4457,12
DH,94,4679,0
CG,73,4866,2
DN,136,4874,41
CP,110,4916,13
DM,135,5138,0
CR,51,5228,3
DA,40,5473,18
DO,146,5956,0
CZ,49,6162,0
DB,82,6196,0
DI,45,6202,6
DQ,71,7017,34
