50
AB,33,0,8
BP,44,6,17
AC,37,8,0
AD,47,11,2
AE,30,11,0
AN,42,40,21
AG,47,50,8
AP,36,71,0
AR,37,103,9
AJ,34,110,4
AF,37,129,0
AH,44,150,1
AL,41,176,2
AK,32,194,0
AI,35,216,9
BJ,31,224,0
AM,44,274,0
BI,37,283,3
BF,44,292,5
AQ,37,296,0
BK,50,327,20
AT,41,363,0
AO,49,453,19
AX,35,473,9
BW,31,493,0
BM,46,514,0
BO,33,601,6
BR,50,611,0
BD,36,644,0
AS,44,650,6
AV,49,650,0
BU,49,663,1
AY,50,704,0
AU,38,718,0
BV,33,743,8
AW,47,746,0
BS,34,765,0
BL,32,788,15
BC,40,821,3
BA,37,841,0
AZ,40,863,0
BE,50,1022,21
BQ,35,1039,0
BG,37,1149,19
BH,43,1195,12
BZ,34,1351,18
BN,33,1396,11
BX,32,1498,3
BY,47,1568,0
BT,47,1594,0
